path;link;size;format;origem
Castlevania Dracula X (USA, Europe) (SNES) (Virtual Console).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Digital)%20(Deprecated)/Castlevania%20Dracula%20X%20%28USA%2C%20Europe%29%20%28SNES%29%20%28Virtual%20Console%29.zip;6.5 MiB;ZIP;https://myrient.erista.me/files/No-Intro
Chou Makaimura (Japan) (SNES) (Virtual Console).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Digital)%20(Deprecated)/Chou%20Makaimura%20%28Japan%29%20%28SNES%29%20%28Virtual%20Console%29.zip;3.7 MiB;ZIP;https://myrient.erista.me/files/No-Intro
Color Cubes (Europe).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Digital)%20(Deprecated)/Color%20Cubes%20%28Europe%29.zip;40.1 MiB;ZIP;https://myrient.erista.me/files/No-Intro
Color Cubes (USA).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Digital)%20(Deprecated)/Color%20Cubes%20%28USA%29.zip;40.1 MiB;ZIP;https://myrient.erista.me/files/No-Intro
Contra III - The Alien Wars (USA, Europe) (SNES) (Virtual Console).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Digital)%20(Deprecated)/Contra%20III%20-%20The%20Alien%20Wars%20%28USA%2C%20Europe%29%20%28SNES%29%20%28Virtual%20Console%29.zip;5.5 MiB;ZIP;https://myrient.erista.me/files/No-Intro
Contra Spirits (Japan) (SNES) (Virtual Console).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Digital)%20(Deprecated)/Contra%20Spirits%20%28Japan%29%20%28SNES%29%20%28Virtual%20Console%29.zip;3.8 MiB;ZIP;https://myrient.erista.me/files/No-Intro
Cup Critters (Europe).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Digital)%20(Deprecated)/Cup%20Critters%20%28Europe%29.zip;32.6 MiB;ZIP;https://myrient.erista.me/files/No-Intro
Cup Critters (USA).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Digital)%20(Deprecated)/Cup%20Critters%20%28USA%29.zip;32.6 MiB;ZIP;https://myrient.erista.me/files/No-Intro
Demon's Blazon - Makai-Mura Monshou Hen (Japan) (SNES) (Virtual Console) (Encrypted CIA).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Digital)%20(Deprecated)/Demon%27s%20Blazon%20-%20Makai-Mura%20Monshou%20Hen%20%28Japan%29%20%28SNES%29%20%28Virtual%20Console%29%20%28Encrypted%20CIA%29.zip;4.7 MiB;ZIP;https://myrient.erista.me/files/No-Intro
Demon's Crest (USA, Europe) (SNES) (Virtual Console).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Digital)%20(Deprecated)/Demon%27s%20Crest%20%28USA%2C%20Europe%29%20%28SNES%29%20%28Virtual%20Console%29.zip;6.8 MiB;ZIP;https://myrient.erista.me/files/No-Intro
Densetsu no Ogre Battle - The March of the Black Queen (Japan) (SNES) (Virtual Console) (Encrypted CIA).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Digital)%20(Deprecated)/Densetsu%20no%20Ogre%20Battle%20-%20The%20March%20of%20the%20Black%20Queen%20%28Japan%29%20%28SNES%29%20%28Virtual%20Console%29%20%28Encrypted%20CIA%29.zip;4.5 MiB;ZIP;https://myrient.erista.me/files/No-Intro
Donkey Kong Country (USA, Europe) (SNES) (Virtual Console).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Digital)%20(Deprecated)/Donkey%20Kong%20Country%20%28USA%2C%20Europe%29%20%28SNES%29%20%28Virtual%20Console%29.zip;8.7 MiB;ZIP;https://myrient.erista.me/files/No-Intro
Donkey Kong Country 2 - Diddy's Kong Quest (USA, Europe) (SNES) (Virtual Console).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Digital)%20(Deprecated)/Donkey%20Kong%20Country%202%20-%20Diddy%27s%20Kong%20Quest%20%28USA%2C%20Europe%29%20%28SNES%29%20%28Virtual%20Console%29.zip;9.5 MiB;ZIP;https://myrient.erista.me/files/No-Intro
Donkey Kong Country 3 - Dixie Kong's Double Trouble (USA, Europe) (SNES) (Virtual Console).zip;https://myrient.erista.me/files/No-Intro/Nintendo%20-%20New%20Nintendo%203DS%20(Digital)%20(Deprecated)/Donkey%20Kong%20Country%203%20-%20Dixie%20Kong%27s%20Double%20Trouble%20%28USA%2C%20Europe%29%20%28SNES%29%20%28Virtual%20Console%29.zip;9.5 MiB;ZIP;https://myrient.erista.me/files/No-Intro
